question,answer,wrong1,wrong2,wrong3
"What is your biggest strength?","Problem-solving","Procrastination","Indecisiveness","Laziness"
"Why do you want to work here?","To grow with the company","For the free perks","Because of the commute","I need a paycheck"
"How do you handle tight deadlines?","Prioritize and organize tasks","Panic and rush","Ignore them","Delegate everything"
"What motivates you at work?","Achieving goals and learning","Gossiping with coworkers","Avoiding responsibility","Salary only"
"How do you handle criticism?","Take it constructively","Get defensive","Ignore it","Complain to others"
"Describe a challenging situation you overcame.","Handled it calmly and found a solution","Blamed others","Gave up","Ignored it"
"How do you manage multiple tasks?","Plan and prioritize","Do everything at once","Ignore some tasks","Delegate all tasks"
"What are your long-term career goals?","Grow professionally and contribute","No plans","Change jobs frequently","Retire early"
"How do you work in a team?","Collaborate and communicate","Work alone","Ignore team input","Take credit for others"
"What would you do if you disagree with your manager?","Discuss respectfully","Argue aggressively","Ignore instructions","Quit immediately"
